"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Thailand","2000","Male","265",""
"Thailand","2000","Female","126",""
"Thailand","2000","Both sexes","196",""
"Thailand","1990","Male","233",""
"Thailand","1990","Female","132",""
"Thailand","1990","Both sexes","183",""
"The former Yugoslav Republic of Macedonia","2012","Male","135",""
"The former Yugoslav Republic of Macedonia","2012","Female","73",""
"The former Yugoslav Republic of Macedonia","2012","Both sexes","105",""
"The former Yugoslav Republic of Macedonia","2000","Male","159",""
"The former Yugoslav Republic of Macedonia","2000","Female","87",""
"The former Yugoslav Republic of Macedonia","2000","Both sexes","123",""
"The former Yugoslav Republic of Macedonia","1990","Male","153",""
"The former Yugoslav Republic of Macedonia","1990","Female","87",""
"The former Yugoslav Republic of Macedonia","1990","Both sexes","120",""
"Timor-Leste","2012","Male","214",""
"Timor-Leste","2012","Female","170",""
"Timor-Leste","2012","Both sexes","192",""
"Timor-Leste","2000","Male","296",""
"Timor-Leste","2000","Female","253",""
"Timor-Leste","2000","Both sexes","275",""
"Timor-Leste","1990","Male","424",""
"Timor-Leste","1990","Female","361",""
"Timor-Leste","1990","Both sexes","395",""
"Togo","2012","Male","318",""
"Togo","2012","Female","293",""
"Togo","2012","Both sexes","305",""
"Togo","2000","Male","347",""
"Togo","2000","Female","333",""
"Togo","2000","Both sexes","340",""
"Togo","1990","Male","304",""
"Togo","1990","Female","259",""
"Togo","1990","Both sexes","281",""
"Tonga","2012","Male","117",""
"Tonga","2012","Female","248",""
"Tonga","2012","Both sexes","187",""
"Tonga","2000","Male","208",""
"Tonga","2000","Female","188",""
"Tonga","2000","Both sexes","198",""
"Tonga","1990","Male","314",""
"Tonga","1990","Female","128",""
"Tonga","1990","Both sexes","222",""
"Trinidad and Tobago","2012","Male","229",""
"Trinidad and Tobago","2012","Female","130",""
"Trinidad and Tobago","2012","Both sexes","181",""
"Trinidad and Tobago","2000","Male","249",""
"Trinidad and Tobago","2000","Female","144",""
"Trinidad and Tobago","2000","Both sexes","198",""
"Trinidad and Tobago","1990","Male","248",""
"Trinidad and Tobago","1990","Female","166",""
"Trinidad and Tobago","1990","Both sexes","207",""
"Tunisia","2012","Male","133",""
"Tunisia","2012","Female","71",""
"Tunisia","2012","Both sexes","102",""
"Tunisia","2000","Male","144",""
"Tunisia","2000","Female","89",""
"Tunisia","2000","Both sexes","117",""
"Tunisia","1990","Male","146",""
"Tunisia","1990","Female","102",""
"Tunisia","1990","Both sexes","124",""
"Turkey","2012","Male","150",""
"Turkey","2012","Female","75",""
"Turkey","2012","Both sexes","112",""
"Turkey","2000","Male","198",""
"Turkey","2000","Female","103",""
"Turkey","2000","Both sexes","150",""
"Turkey","1990","Male","232",""
"Turkey","1990","Female","133",""
"Turkey","1990","Both sexes","184",""
"Turkmenistan","2012","Male","378",""
"Turkmenistan","2012","Female","201",""
"Turkmenistan","2012","Both sexes","292",""
"Turkmenistan","2000","Male","344",""
"Turkmenistan","2000","Female","204",""
"Turkmenistan","2000","Both sexes","275",""
"Turkmenistan","1990","Male","301",""
"Turkmenistan","1990","Female","193",""
"Turkmenistan","1990","Both sexes","248",""
"Tuvalu","2012","Male","240",""
"Tuvalu","2012","Female","185",""
"Tuvalu","2012","Both sexes","213",""
"Tuvalu","2000","Male","296",""
"Tuvalu","2000","Female","231",""
"Tuvalu","2000","Both sexes","265",""
"Tuvalu","1990","Male","348",""
"Tuvalu","1990","Female","259",""
"Tuvalu","1990","Both sexes","306",""
"Uganda","2012","Male","389",""
"Uganda","2012","Female","360",""
"Uganda","2012","Both sexes","375",""
"Uganda","2000","Male","595",""
"Uganda","2000","Female","559",""
"Uganda","2000","Both sexes","577",""
"Uganda","1990","Male","503",""
"Uganda","1990","Female","418",""
"Uganda","1990","Both sexes","461",""
"Ukraine","2012","Male","297",""
"Ukraine","2012","Female","116",""
"Ukraine","2012","Both sexes","205",""
"Ukraine","2000","Male","377",""
"Ukraine","2000","Female","136",""
"Ukraine","2000","Both sexes","258",""
"Ukraine","1990","Male","287",""
"Ukraine","1990","Female","112",""
"Ukraine","1990","Both sexes","199",""
"United Arab Emirates","2012","Male","85",""
"United Arab Emirates","2012","Female","60",""
"United Arab Emirates","2012","Both sexes","77",""
"United Arab Emirates","2000","Male","114",""
"United Arab Emirates","2000","Female","89",""
"United Arab Emirates","2000","Both sexes","108",""
"United Arab Emirates","1990","Male","150",""
"United Arab Emirates","1990","Female","121",""
"United Arab Emirates","1990","Both sexes","142",""
"United Kingdom","2012","Male","90",""
"United Kingdom","2012","Female","56",""
"United Kingdom","2012","Both sexes","73",""
"United Kingdom","2000","Male","108",""
"United Kingdom","2000","Female","67",""
"United Kingdom","2000","Both sexes","88",""
"United Kingdom","1990","Male","129",""
"United Kingdom","1990","Female","78",""
"United Kingdom","1990","Both sexes","104",""
"United Republic of Tanzania","2012","Male","342",""
"United Republic of Tanzania","2012","Female","277",""
"United Republic of Tanzania","2012","Both sexes","310",""
"United Republic of Tanzania","2000","Male","454",""
"United Republic of Tanzania","2000","Female","427",""
"United Republic of Tanzania","2000","Both sexes","440",""
"United Republic of Tanzania","1990","Male","388",""
"United Republic of Tanzania","1990","Female","328",""
"United Republic of Tanzania","1990","Both sexes","358",""
"United States of America","2012","Male","130",""
"United States of America","2012","Female","77",""
"United States of America","2012","Both sexes","103",""
"United States of America","2000","Male","144",""
"United States of America","2000","Female","83",""
"United States of America","2000","Both sexes","114",""
"United States of America","1990","Male","173",""
"United States of America","1990","Female","91",""
"United States of America","1990","Both sexes","132",""
"Uruguay","2012","Male","149",""
"Uruguay","2012","Female","79",""
"Uruguay","2012","Both sexes","114",""
"Uruguay","2000","Male","181",""
"Uruguay","2000","Female","90",""
"Uruguay","2000","Both sexes","135",""
"Uruguay","1990","Male","196",""
"Uruguay","1990","Female","98",""
"Uruguay","1990","Both sexes","147",""
"Uzbekistan","2012","Male","211",""
"Uzbekistan","2012","Female","131",""
"Uzbekistan","2012","Both sexes","171",""
"Uzbekistan","2000","Male","252",""
"Uzbekistan","2000","Female","151",""
"Uzbekistan","2000","Both sexes","202",""
"Uzbekistan","1990","Male","251",""
"Uzbekistan","1990","Female","144",""
"Uzbekistan","1990","Both sexes","198",""
"Vanuatu","2012","Male","164",""
"Vanuatu","2012","Female","116",""
"Vanuatu","2012","Both sexes","140",""
"Vanuatu","2000","Male","209",""
"Vanuatu","2000","Female","162",""
"Vanuatu","2000","Both sexes","186",""
"Vanuatu","1990","Male","256",""
"Vanuatu","1990","Female","210",""
"Vanuatu","1990","Both sexes","235",""
"Venezuela (Bolivarian Republic of)","2012","Male","200",""
"Venezuela (Bolivarian Republic of)","2012","Female","89",""
"Venezuela (Bolivarian Republic of)","2012","Both sexes","146",""
"Venezuela (Bolivarian Republic of)","2000","Male","185",""
"Venezuela (Bolivarian Republic of)","2000","Female","98",""
"Venezuela (Bolivarian Republic of)","2000","Both sexes","143",""
"Venezuela (Bolivarian Republic of)","1990","Male","178",""
"Venezuela (Bolivarian Republic of)","1990","Female","117",""
"Venezuela (Bolivarian Republic of)","1990","Both sexes","148",""
"Viet Nam","2012","Male","191",""
"Viet Nam","2012","Female","69",""
"Viet Nam","2012","Both sexes","131",""
"Viet Nam","2000","Male","201",""
"Viet Nam","2000","Female","79",""
"Viet Nam","2000","Both sexes","139",""
"Viet Nam","1990","Male","212",""
"Viet Nam","1990","Female","95",""
"Viet Nam","1990","Both sexes","153",""
"Yemen","2012","Male","264",""
"Yemen","2012","Female","214",""
"Yemen","2012","Both sexes","238",""
"Yemen","2000","Male","278",""
"Yemen","2000","Female","230",""
"Yemen","2000","Both sexes","255",""
"Yemen","1990","Male","301",""
"Yemen","1990","Female","247",""
"Yemen","1990","Both sexes","272",""
"Zambia","2012","Male","398",""
"Zambia","2012","Female","353",""
"Zambia","2012","Both sexes","376",""
"Zambia","2000","Male","704",""
"Zambia","2000","Female","633",""
"Zambia","2000","Both sexes","670",""
"Zambia","1990","Male","634",""
"Zambia","1990","Female","452",""
"Zambia","1990","Both sexes","550",""
"Zimbabwe","2012","Male","390",""
"Zimbabwe","2012","Female","313",""
"Zimbabwe","2012","Both sexes","351",""
"Zimbabwe","2000","Male","738",""
"Zimbabwe","2000","Female","764",""
"Zimbabwe","2000","Both sexes","751",""
"Zimbabwe","1990","Male","308",""
"Zimbabwe","1990","Female","255",""
"Zimbabwe","1990","Both sexes","282",""

