"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Brazil","1990","Male","272",""
"Brazil","1990","Female","150",""
"Brazil","1990","Both sexes","212",""
"Brunei Darussalam","2012","Male","104",""
"Brunei Darussalam","2012","Female","71",""
"Brunei Darussalam","2012","Both sexes","88",""
"Brunei Darussalam","2000","Male","115",""
"Brunei Darussalam","2000","Female","83",""
"Brunei Darussalam","2000","Both sexes","100",""
"Brunei Darussalam","1990","Male","151",""
"Brunei Darussalam","1990","Female","112",""
"Brunei Darussalam","1990","Both sexes","133",""
"Bulgaria","2012","Male","188",""
"Bulgaria","2012","Female","83",""
"Bulgaria","2012","Both sexes","137",""
"Bulgaria","2000","Male","223",""
"Bulgaria","2000","Female","97",""
"Bulgaria","2000","Both sexes","161",""
"Bulgaria","1990","Male","217",""
"Bulgaria","1990","Female","97",""
"Bulgaria","1990","Both sexes","158",""
"Burkina Faso","2012","Male","301",""
"Burkina Faso","2012","Female","259",""
"Burkina Faso","2012","Both sexes","278",""
"Burkina Faso","2000","Male","400",""
"Burkina Faso","2000","Female","365",""
"Burkina Faso","2000","Both sexes","380",""
"Burkina Faso","1990","Male","371",""
"Burkina Faso","1990","Female","313",""
"Burkina Faso","1990","Both sexes","339",""
"Burundi","2012","Male","370",""
"Burundi","2012","Female","313",""
"Burundi","2012","Both sexes","342",""
"Burundi","2000","Male","504",""
"Burundi","2000","Female","425",""
"Burundi","2000","Both sexes","465",""
"Burundi","1990","Male","417",""
"Burundi","1990","Female","356",""
"Burundi","1990","Both sexes","385",""
"Cabo Verde","2012","Male","149",""
"Cabo Verde","2012","Female","70",""
"Cabo Verde","2012","Both sexes","107",""
"Cabo Verde","2000","Male","211",""
"Cabo Verde","2000","Female","114",""
"Cabo Verde","2000","Both sexes","157",""
"Cabo Verde","1990","Male","240",""
"Cabo Verde","1990","Female","167",""
"Cabo Verde","1990","Both sexes","197",""
"Cambodia","2012","Male","212",""
"Cambodia","2012","Female","161",""
"Cambodia","2012","Both sexes","185",""
